"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
"DR4370-001 Collection of race, ethnicity, and gender data for civil rights compliance and other purposes in regard to participation in the programs administered by the Farm Service Agency, the Natural Resources Conservation Service, the Risk Management Agency, the Rural Business Service, the Rural Housing Service, and the Rural
Utilities Service. (10/11/11)",Departmental Management,OASA,10/11/11,,
"DR4370-002 Providing a Receipt for Service or Denial of Service by the Farm Service Agency, the Natural Resources Conservation Service, the Rural Business Service, the Rural Housing Service, and the Rural Utilities
Service. (11/28/11)",Departmental Management,OASA,11/28/11,,
DR4400-005 Radiation Safety Program (10/19/21),OHS,OHS-RSD,10/19/21,10/21/26,
DR4400-006 USDA Smoking Policy (07/28/09),OPPM-PMD,OPEM,07/28/09,,
DR4400-007 USDA Biorisk Management Policy (09/03/20),APHIS,APHIS,09/03/20,09/03/25,
DR4410-004 Safety Management Program (08/03/15),OPPM,OPEM-SHMD,08/03/15,,
DR4430-002 Wellness Program (06/14/93),"Office of Finance and Management-Safety and Health Management
Division",OHRM-DRWD,06/14/93,,
DR4430-004 Workers' Compensation Program (03/08/16),OPPM,OPEM-SHMD,03/08/16,,
DR4430-005 Workers' Compensation Program: Return to Work (12/17/14),OPPM,OPEM-SHMD,12/17/14,,
DR4430-792-1 Employee Assistance Program (03/12/12),OHRM,OHRM-ER/LR,03/12/12,,
DR4430-792-2 Drug Free Workplace Program (04/14/11),OHRM,OHRM-ER/LR,04/14/11,,
DR4600-001 USDA Personnel Security Clearance Program (07/02/13),OHSEC,OHS-PDSD,07/02/13,,
DR4600-002 Procedures for the Denial or Revocation of Access to National Security Information (09/13/13),OHSEC,OHS-PDSD,09/13/13,,
DR4600-003 USDA Defensive Counterintelligence and Insider Threat Programs (07/12/21),OHS,OHS,07/12/21,07/12/26,
DR4600-004 Foreign Visits and Assignments Vetting (05/27/21),OHS,OHS,05/27/21,05/27/26,
DR4610-001 Security Screening Unit Procedures (12/09/21),OSSP,OSSP,12/09/21,12/09/26,
DR4620-002 Common Identification Standard for U.S. Department of Agriculture (06/24/21),OSSP,OSSP,06/24/21,06/24/26,
DR4710-001 Alternative Dispute Resolution (04/05/06),"Conflict Prevention and
Resolution Center",OASCR,04/05/06,,
DR4720-001 USDA Onboarding Requirements (06/03/11),OHRM,OHRM-VU,06/03/11,,
DR4740-001 USDA Mentoring Program (02/01/12),OHRM,OHRM-VU,02/01/12,,
DR4740-002 USDA Cross Training Program (09/26/13),OHRM,OHRM-VU,09/26/13,,
DR4740-003 Executive Continual Learning Program (07/25/14),OHRM,OHRM-VU,07/25/14,,
DR4740-004 Training Officers Consortium (07/25/14),OHRM,OHRM-VU,07/25/14,,
DR4740-005 USDA Pathways Programs (05/12/16),OHRM,OHRM-HRPD,05/12/16,,
DR5023-002 Biobased Products Procurement Program (04/20/05),OPPM,RD-RBS,04/20/05,,
DR5080-001 USDA and the AbilityOne Program: Increasing Achievements and Setting Department Goals (05/23/07),OSDBU,OSDBU,05/23/07,,
"DR5090-001 USDA Small Business Programs - Full Small Business Participation & Clearance Process for Contracts
Not Set-aside or Reserved for Small Business Participation (06/14/07)",OSDBU,OSDBU,06/14/07,,
DR5090-002 Annual Preference Program Goals (07/01/98),OSDBU,OSDBU,07/01/98,,
DR5090-003 Annual Procurement Forecast Requirements (07/01/98),OSDBU,OSDBU,07/01/98,,
"DR5090-005 USDA Small Business Programs - Contracting with Service Disabled Veteran-Owned Small Business
(09/26/06)",OSDBU,OSDBU,09/26/06,,
DR5100-003 Real Property Leasing Officer Warrant System (09/25/13),OPPM-PMD,OPEM-PMD,09/25/13,,
DR5100-004 Real Property Management (04/01/21),OPEM,OPEM,04/01/21,04/01/26,
DR5160-001 Official Symbol and Seal of the Department (09/19/13),OPPM-PMD,OPEM-PMD,09/19/13,,
DR5160-003 Identification Signs (09/03/14),OPPM-PMD,OPEM-PMD,09/03/14,,
DR5200-001 Personal Property Management Property Passes (04/09/84),"Assistant Inspector General Security and Special
Operations",OIG and OPEM-PMD,04/09/84,,
DR5200-002 Central Receiving (11/28/18),OO-MMSC,OO-MMSC,11/28/18,11/28/23,
DR5200-003 Gift Acceptance Policy (01/04/18),OPPM,OPEM,01/04/18,,
DR5400-005 Use of Government Vehicle for Home to Work (10/01/09),OPPM-PMD,OPEM-PMD,10/01/99,,
DR5400-006 Use of Fleet Charge Card and Alternative Payment Methods (03/06/09),OPPM,OPEM-PMD,03/06/09,,
DR5400-007 Text Messaging While Driving (09/07/10),OPPM-PMD,OPEM-PMD,09/07/10,,
DR5600-001 Departmental Gypsy Moth Policy (06/01/90),"Forest Pest Management,
S&PF, Forest Service",FS,06/01/90,,
DR5600-002 Environmental Justice (12/15/97),NRE,NRCS,12/15/97,,
DR5600-003 USDA Roles in Market-Based Environmental Stewardship (12/20/06),NRCS,NRCS,12/20/06,,
DR5600-005 Environmental Management (09/24/12),OPPM,OPEM-EMD,09/24/12,,
DR5600-006 Sustainable Operations (06/22/21),OPEM,OPEM,06/22/21,06/22/26,
DR5700-001 Patents (01/10/83),OGC,OGC,01/10/83,,
DR9500-002 Agriculture Pesticide Impact Assessment Program (03/07/83),ARS,ARS,03/07/83,,
DR9500-004 Fish and Wildlife Policy (04/28/08),"Wildlife and Fisheries Staff,
Forest Service",FS,04/28/08,,
DR9500-005 Policy on Range (04/21/88),"Ecological Sciences, SCS",NRCS,04/21/88,,
DR9500-007 USDA Non-point Source Water Quality (12/16/20),NRCS,NRCS,12/16/20,12/16/25,
DR9500-008 USDA Policy for Groundwater Quality (01/14/21),NRCS,NRCS,01/14/21,01/14/26,
DR9500-011 Coordination of Environmental Policy (06/30/05),NRCS,NRCS,06/30/05,,
"DR9500-013 Conducting Analyses Under the Principles, Requirements, and Guidelines for Water and Land Related Resources Implementation Studies and Federal Water Resource Investments (01/05/17)",NRE,NRCS,01/05/17,,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
"DR9630-001 USDA Policies and Procedures on Biohazardous Waste Decontamination, Management, and Quality
Controls at Laboratories and Technical Facilities (06/18/09)",ARS,ARS,06/18/09,,
DR9700-001 Small Farms and Beginning Farmers and Ranchers Policy (08/03/06),OCE,OCE,08/03/06,,
DR9700-002 Beginning Farmers and Ranchers Program (08/25/20),FSA-OO,FSA-OO,08/25/20,08/25/25,
"DR9800-001 Publishing Reports at the Economic Research Service, a Federal Statistical Agency (01/04/17)",ERS,ERS,01/04/17,,
SM1077-001 Office of Property and Fleet Management Name Change (03/26/21),OSEC,OSEC,03/26/21,03/26/22,
SM1077-002 Realignment of the Office of Tribal Relations (06/24/21),OSEC,OSEC,06/24/21,06/24/22,
"SM1077-003 Amendment to Delegations of Authority to the Under Secretary for the Farm Production and
Conservation Mission Area and the Farm Service Agency Administrator (07/26/21)",OSEC,OSEC,07/26/21,07/26/22,
,,,,,
Expired Departmental Directives Still Posted on the Directives Website for Reference,,,,,
,,,,,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DN5130-001 Real Property Disposals (04/01/20),OSEC,OSEC,04/01/20,04/01/21,
SM1076-017 Advancing U.S. Agricultural Trade and Improving Service to Agricultural Producers (05/11/17),OSEC,OSEC,05/11/17,05/11/18,
SM1076-018 Improving Customer Service and Efficiency (11/14/17),OSEC,OSEC,11/14/17,11/14/18,
SM1076-019 USDA Departmental Directives System Update (01/04/18),OSEC,OSEC,01/04/18,01/04/19,
SM1076-020 Delegations of Authority to the General Counsel (01/04/18),OSEC,OSEC,01/04/18,01/04/19,
SM1076-022 Improving Customer Service and Ensuring Departmental Administration Delivers (02/02/18),OSEC,OSEC,02/02/18,02/02/19,
SM1076-023 Strengthening Civil Rights Management Functions (03/09/18),OSEC,OSEC,03/09/18,03/09/19,
SM1076-024 Delegation of Authority for the Organic Certification Cost Share Programs ((09/08/17),OSEC,OSEC,09/08/17,09/08/18,
SM1076-025 OneUSDA – Foundational Responsibilities for Labor Relations (07/12/18),OSEC,OSEC,07/12/18,07/12/19,
SM1076-027 This SM was superseded by SM 1076-028 on 05/02/2019.,OSEC,OSEC,05/02/19,05/02/20,
"SM1076-028 Improving Accountability Over the Use of Cooperative Agreements and Similar Arrangements at the
U.S. Department of Agriculture Approval and Oversight Requirements",OSEC,OSEC,05/02/19,05/02/20,
SM1076-029 This SM was superseded by SM 1076-030 on 07/01/2019.,OSEC,OSEC,07/01/19,07/01/20,
SM1076-030 Implementation of the Agriculture Improvement Act of 2018 (07/01/19),OSEC,OSEC,07/01/19,07/01/20,
SM1076-031 Under Secretary for Rural Development and Principal Deputy Chief Financial Officer (08/12/19),OSEC,OSEC,08/12/19,08/12/20,
"SM1076-032 Office of Safety, Security and Protection (OSSP) within Departmental Administration. (09/13/19)",OSEC,OSEC,09/13/19,09/13/20,
SM1076-033 Realignment of the USDA Departmental FOIA Office (09/24/19),OSEC,OSEC,09/24/19,09/24/20,
SM1076-034 Realignment of the Office of the Chief Information Officer (09/30/19),OSEC,OSEC,09/30/19,09/30/20,
"SM1076-035 Delegations of Authority Under the Families First Coronavirus Response Act and the Coronavirus Aid,
Relief, and Economic Security Act (04/24/20)",OSEC,OSEC,04/24/20,04/24/21,
SM1076-036 Realignment of the Office of the Executive Secretariat (08/14/20),OSEC,OSEC,08/14/20,08/14/21,
SM1076-037 Realignment of Receipt for Service Oversight (12/17/20),OSEC,OSEC,12/17/20,12/17/21,
,,,,,
Key to OPI Names (Office of Primary Interest - the Directive owner or sponsor),,,,,
"AMS - Agricultural Marketing Service
APHIS - Animal and Plant Health Inspection Service ARS - Agricultural Research Service
ERS - Economic Research Service FAS - Foreign Agricultural Service FNS - Food and Nutrition Service FS - Forest Service
FSA - Farm Service Agency
NAL - National Agricultural Library
NASS - National Agricultural Statistics Service NRCS - Natural Resources Conservation Service OAO - Office of Advocacy and Outreach
OASA - Office of the Assistant Secretary for Administration OASCR - Office of the Assistant Secretary for Civil Rights OBPA - Office of Budget and Program Analysis
OC - Office of Communications OCE - Office of the Chief Economist
OCFO - Office of the Chief Financial Officer OCIO - Office of the Chief Information Officer OCS - Office of the Chief Scientist
OES - Office of the Executive Secretariat OGC - Office of the General Counsel
OHRM - Office of Human Resource Management OHS - Office of Homeland Security
OIG - Office of the Inspector General OO - Office of Operations
OPEM - Office of Property and Environmental Management OSDBU - Office of Small and Disadvantaged Business Utilization OSEC - Office of the Secretary
OSSP - Office of Safety, Security, and Protection OTR - Office of Tribal Relations
RD - Rural Development",,,,,
