"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DR1051-002 International Activities and Agreements of USDA Agencies (12/22/04),FAS,FAS,12/22/04,,
DR1051-003 Citation of Science & Technology (S&T) Agreements in USDA S&T Arrangements (01/07/2021),OCS,OCS,01/07/21,01/07/26,
DR1058-001 Sustainable Operations Council (12/21/2021),OPEM,OPEM,12/21/21,12/21/26,
DR1061-003 USDA Executive Resources Board (11/04/14),OHRM,OHRM-ERMD,11/04/14,,
DR1070-001 U.S. Department of Agriculture Policy Statement on Climate Change Adaptation (05/26/21),OSEC,OSEC,05/26/21,05/26/26,
DR1071-001 Memorandum of Understanding on Environmental Justice and Executive Order 12898 (07/15/11),OSEC,OASA,07/15/11,,
DR1073-001 Combined Federal Campaign (CFC) (06/15/11),OASA,OASA,06/15/11,,
DR1073-002 USDA Policy for Agroforestry (02/26/2013),OSEC,OSEC,02/26/13,,
DR1074-001 Scientific Integrity (11/18/16),OCS,OCS,11/18/16,,
DR1110-002 Management’s Responsibility for Internal Control (03/05/21),OCFO-ICD,OCFO-ICD,03/05/21,03/05/26,
DR1312-002 Merit Systems Protection Board (07/17/86),Office of Personnel,OHRM-ER/LR,07/17/86,,
DR1340-001 Memorandum Between USDA and Defense (07/07/83),"Conservation Planning and
Application Division, SCS",NRCS,07/07/83,,
DR1340-002 USDA Services on Indian Reservations (08/06/91),"Office of Public Affairs, Office of Intergovernmental
Affairs",OSEC,08/06/91,,
DR1340-007 Policies on American Indians and Alaska Natives (03/14/08),OGC,OTR,03/14/08,,
DR1350-001 Tribal Consultation (09/11/08),OGC,OTR,09/11/08,,
"DR1350-002 Tribal Consultation, Coordination, and Collaboration (01/18/13)",OTR,OTR,01/18/13,,
DR1410-001 Publications Review and Clearance Policy (01/14/21),OC-PET,OC-PET,01/14/21,01/14/26,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DR1420-002 Printing Policy (09/08/16),OC-PSD,OC-PSD,09/08/16,,
DR1430-002 Use of Logos/Marks at the United States Department of Agriculture (01/08/2013),OC-BEEERD,OC-BEEERD,01/08/13,,
DR1440-002 Press Operations (09/07/16),OC,OC,09/07/16,,
DR1480-001 Photography Policy (02/07/03),OC-Photography,OC-Photography,02/07/03,,
"DR1490-002 Creative, Media and Broadcast Policy (08/04/11)",OC-CMBC,OC-CMBC,08/04/11,,
"DR1495-001 New Media Roles, Responsibilities, and Authorities (05/23/11)",OC,OC,05/23/11,,
DR1496-001 Digital Strategy Governance (11/21/12),OC,OC,11/21/12,,
DR1497-001 Approval of Communications/Information Products and Services (10/29/14),OC,OC,10/29/14,,
DR1512-001 Regulatory Development and Review (09/14/21),OBPA,OBPA-LRAS,09/14/21,09/14/26,
DR1521-001 Legal Review and Execution of Settlement Agreements (01/04/2018),OGC,OGC,01/04/18,,
DR1620-003 Facilities and Space Management (03/31/21),OPEM,OPEM,03/31/21,03/31/26,
DR1630-002 Use of Alcoholic Beverages and Narcotics in USDA Occupied Space (12/13/12),OPPM-PMD,OPEM-PMD,12/13/12,,
DR1633-001 Parking - USDA Headquarters Complex (09/08/94),OO,OO,09/08/94,,
DR1650-001 Departmental Physical Security Program (12/09/21),OSSP,OSSP,12/09/21,12/09/26,
DR1650-002 Building Safety/Security Emergency Program (10/07/92),OO-RPMD,OSSP,10/07/92,,
DR1700-002 OIG Organization and Procedures (06/17/97),OIG,OIG,06/17/97,,
DR1710-001 Interception and Monitoring of Conversations (02/06/84),OIG,OIG,02/06/84,,
DR1720-001 Audit Follow-up and Management Decision (11/02/11),OCFO,OCFO-ICD,11/02/11,,
"DR1800-001 Incident Preparedness, Response, and Recovery (12/11)",OHSEC,OHS-NSPS,12/01/11,,
DR2100-001 Financial Management Systems (11/30/05),OCFO,OCFO-FMS,11/30/05,,
DR2100-003 OCFO Biennial Review of Charges for Things of Value (Amended page 5) (01/23/02),OCFO,OCFO-CRD,01/23/02,,
DR2100-003-01 Amendment to OCFO Biennial Review of Charges for Things of Value (08/01/05),OCFO-FOQAD,OCFO-CRD,08/01/05,,
DR2130-006 Debt Management and Collections (08/27/21),OCFO-FPD,OCFO-FPD,08/27/21,08/27/26,
DR2130-008 Changes in Significant Accounting Estimates (10/24/16),OCFO,OCFO-CRD,10/24/16,,
"DR2200-002 Property, Plant and Equipment (04/02/13)",OCFO,OCFO-CRD,04/02/13,,
DR2200-004 Fiscal Liability for Improper Acts (03/17/86),"Office of Finance and
Management",OCFO-FPD,03/17/86,,
DR2230-001 Reviews of Unliquidated Obligations (10/28/20),OCFO,OCFO-CRD,10/28/20,10/28/25,
DR2235-001 Economy Act Agreements (07/14/21),OCFO,OCFO-AMD,07/14/21,07/14/26,
DR2236-001 Shared Cost Programs (04/16/21),OCFO,OCFO-BF,04/16/21,04/16/26,
DR2250-001 Imprest Fund Authorities and Requirements (09/30/20),OCFO-FPD,OCFO-FPD,09/30/20,09/30/25,
DR2255-001 Indirect Cost Rates Applicable to USDA Federal Awards (08/05/16),OCFO,OCFO-TARD,08/05/16,,
DR2270-001 Irregularities Affecting Accounts of Officers(10/27/03),OCFO,OCFO-FPD,10/27/03,,
DR2280-001 Suspension and Debarment (01/16/13),OCFO,OCFO-TARD,01/16/13,,
