"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
"DR4370-001 Collection of race, ethnicity, and gender data for civil rights compliance and other purposes in regard to participation in the programs administered by the Farm Service Agency, the Natural Resources Conservation Service, the Risk Management Agency, the Rural Business Service, the Rural Housing Service, and the Rural
Utilities Service. (10/11/11)",Departmental Management,OASA,10/11/2011,
"DR4370-002 Providing a Receipt for Service or Denial of Service by the Farm Service Agency, the Natural Resources Conservation Service, the Rural Business Service, the Rural Housing Service, and the Rural Utilities
Service. (11/28/11)",Departmental Management,OASA,11/28/2011,
DR4400-005 Radiation Safety Program (10/19/21),OHS,OHS-RSD,10/19/2021,10/21/2026
DR4400-006 USDA Smoking Policy (07/28/09),OPPM-PMD,OPEM,7/28/2009,
DR4400-007 USDA Biorisk Management Policy (09/03/20),APHIS,APHIS,9/3/2020,9/3/2025
DR4410-004 Safety Management Program (08/03/15),OPPM,OPEM-SHMD,8/3/2015,
DR4430-002 Wellness Program (06/14/93),"Office of Finance and Management-Safety and Health Management
Division",OHRM-DRWD,6/14/1993,
DR4430-004 Workers' Compensation Program (03/08/16),OPPM,OPEM-SHMD,3/8/2016,
DR4430-005 Workers' Compensation Program: Return to Work (12/17/14),OPPM,OPEM-SHMD,12/17/2014,
DR4430-792-1 Employee Assistance Program (03/12/12),OHRM,OHRM-ER/LR,3/12/2012,
DR4430-792-2 Drug Free Workplace Program (04/14/11),OHRM,OHRM-ER/LR,4/14/2011,
DR4600-001 USDA Personnel Security Clearance Program (07/02/13),OHSEC,OHS-PDSD,7/2/2013,
DR4600-002 Procedures for the Denial or Revocation of Access to National Security Information (09/13/13),OHSEC,OHS-PDSD,9/13/2013,
DR4600-003 USDA Defensive Counterintelligence and Insider Threat Programs (07/12/21),OHS,OHS,7/12/2021,7/12/2026
DR4600-004 Foreign Visits and Assignments Vetting (05/27/21),OHS,OHS,5/27/2021,5/27/2026
DR4610-001 Security Screening Unit Procedures (12/09/21),OSSP,OSSP,12/9/2021,12/9/2026
DR4620-002 Common Identification Standard for U.S. Department of Agriculture (06/24/21),OSSP,OSSP,6/24/2021,6/24/2026
DR4710-001 Alternative Dispute Resolution (04/05/06),"Conflict Prevention and
Resolution Center",OASCR,4/5/2006,
DR4720-001 USDA Onboarding Requirements (06/03/11),OHRM,OHRM-VU,6/3/2011,
DR4740-001 USDA Mentoring Program (02/01/12),OHRM,OHRM-VU,2/1/2012,
DR4740-002 USDA Cross Training Program (09/26/13),OHRM,OHRM-VU,9/26/2013,
DR4740-003 Executive Continual Learning Program (07/25/14),OHRM,OHRM-VU,7/25/2014,
DR4740-004 Training Officers Consortium (07/25/14),OHRM,OHRM-VU,7/25/2014,
DR4740-005 USDA Pathways Programs (05/12/16),OHRM,OHRM-HRPD,5/12/2016,
DR5023-002 Biobased Products Procurement Program (04/20/05),OPPM,RD-RBS,4/20/2005,
DR5080-001 USDA and the AbilityOne Program: Increasing Achievements and Setting Department Goals (05/23/07),OSDBU,OSDBU,5/23/2007,
"DR5090-001 USDA Small Business Programs - Full Small Business Participation & Clearance Process for Contracts
Not Set-aside or Reserved for Small Business Participation (06/14/07)",OSDBU,OSDBU,6/14/2007,
DR5090-002 Annual Preference Program Goals (07/01/98),OSDBU,OSDBU,7/1/1998,
DR5090-003 Annual Procurement Forecast Requirements (07/01/98),OSDBU,OSDBU,7/1/1998,
"DR5090-005 USDA Small Business Programs - Contracting with Service Disabled Veteran-Owned Small Business
(09/26/06)",OSDBU,OSDBU,9/26/2006,
DR5100-003 Real Property Leasing Officer Warrant System (09/25/13),OPPM-PMD,OPEM-PMD,9/25/2013,
DR5100-004 Real Property Management (04/01/21),OPEM,OPEM,4/1/2021,4/1/2026
DR5160-001 Official Symbol and Seal of the Department (09/19/13),OPPM-PMD,OPEM-PMD,9/19/2013,
DR5160-003 Identification Signs (09/03/14),OPPM-PMD,OPEM-PMD,9/3/2014,
DR5200-001 Personal Property Management Property Passes (04/09/84),"Assistant Inspector General Security and Special
Operations",OIG and OPEM-PMD,4/9/1984,
DR5200-002 Central Receiving (11/28/18),OO-MMSC,OO-MMSC,11/28/2018,11/28/2023
DR5200-003 Gift Acceptance Policy (01/04/18),OPPM,OPEM,1/4/2018,
DR5400-005 Use of Government Vehicle for Home to Work (10/01/09),OPPM-PMD,OPEM-PMD,10/1/1999,
DR5400-006 Use of Fleet Charge Card and Alternative Payment Methods (03/06/09),OPPM,OPEM-PMD,3/6/2009,
DR5400-007 Text Messaging While Driving (09/07/10),OPPM-PMD,OPEM-PMD,9/7/2010,
DR5600-001 Departmental Gypsy Moth Policy (06/01/90),"Forest Pest Management,
S&PF, Forest Service",FS,6/1/1990,
DR5600-002 Environmental Justice (12/15/97),NRE,NRCS,12/15/1997,
DR5600-003 USDA Roles in Market-Based Environmental Stewardship (12/20/06),NRCS,NRCS,12/20/2006,
DR5600-005 Environmental Management (09/24/12),OPPM,OPEM-EMD,9/24/2012,
DR5600-006 Sustainable Operations (06/22/21),OPEM,OPEM,6/22/2021,6/22/2026
DR5700-001 Patents (01/10/83),OGC,OGC,1/10/1983,
DR9500-002 Agriculture Pesticide Impact Assessment Program (03/07/83),ARS,ARS,3/7/1983,
DR9500-004 Fish and Wildlife Policy (04/28/08),"Wildlife and Fisheries Staff,
Forest Service",FS,4/28/2008,
DR9500-005 Policy on Range (04/21/88),"Ecological Sciences, SCS",NRCS,4/21/1988,
DR9500-007 USDA Non-point Source Water Quality (12/16/20),NRCS,NRCS,12/16/2020,12/16/2025
DR9500-008 USDA Policy for Groundwater Quality (01/14/21),NRCS,NRCS,1/14/2021,1/14/2026
DR9500-011 Coordination of Environmental Policy (06/30/05),NRCS,NRCS,6/30/2005,
"DR9500-013 Conducting Analyses Under the Principles, Requirements, and Guidelines for Water and Land Related Resources Implementation Studies and Federal Water Resource Investments (01/05/17)",NRE,NRCS,1/5/2017,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
"DR9630-001 USDA Policies and Procedures on Biohazardous Waste Decontamination, Management, and Quality
Controls at Laboratories and Technical Facilities (06/18/09)",ARS,ARS,6/18/2009,
DR9700-001 Small Farms and Beginning Farmers and Ranchers Policy (08/03/06),OCE,OCE,8/3/2006,
DR9700-002 Beginning Farmers and Ranchers Program (08/25/20),FSA-OO,FSA-OO,8/25/2020,8/25/2025
"DR9800-001 Publishing Reports at the Economic Research Service, a Federal Statistical Agency (01/04/17)",ERS,ERS,1/4/2017,
SM1077-001 Office of Property and Fleet Management Name Change (03/26/21),OSEC,OSEC,3/26/2021,3/26/2022
SM1077-002 Realignment of the Office of Tribal Relations (06/24/21),OSEC,OSEC,6/24/2021,6/24/2022
"SM1077-003 Amendment to Delegations of Authority to the Under Secretary for the Farm Production and
Conservation Mission Area and the Farm Service Agency Administrator (07/26/21)",OSEC,OSEC,7/26/2021,7/26/2022
,,,,
Expired Departmental Directives Still Posted on the Directives Website for Reference,,,,
,,,,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
DN5130-001 Real Property Disposals (04/01/20),OSEC,OSEC,4/1/2020,4/1/2021
SM1076-017 Advancing U.S. Agricultural Trade and Improving Service to Agricultural Producers (05/11/17),OSEC,OSEC,5/11/2017,5/11/2018
SM1076-018 Improving Customer Service and Efficiency (11/14/17),OSEC,OSEC,11/14/2017,11/14/2018
SM1076-019 USDA Departmental Directives System Update (01/04/18),OSEC,OSEC,1/4/2018,1/4/2019
SM1076-020 Delegations of Authority to the General Counsel (01/04/18),OSEC,OSEC,1/4/2018,1/4/2019
SM1076-022 Improving Customer Service and Ensuring Departmental Administration Delivers (02/02/18),OSEC,OSEC,2/2/2018,2/2/2019
SM1076-023 Strengthening Civil Rights Management Functions (03/09/18),OSEC,OSEC,3/9/2018,3/9/2019
SM1076-024 Delegation of Authority for the Organic Certification Cost Share Programs ((09/08/17),OSEC,OSEC,9/8/2017,9/8/2018
SM1076-025 OneUSDA – Foundational Responsibilities for Labor Relations (07/12/18),OSEC,OSEC,7/12/2018,7/12/2019
SM1076-027 This SM was superseded by SM 1076-028 on 05/02/2019.,OSEC,OSEC,5/2/2019,5/2/2020
"SM1076-028 Improving Accountability Over the Use of Cooperative Agreements and Similar Arrangements at the
U.S. Department of Agriculture Approval and Oversight Requirements",OSEC,OSEC,5/2/2019,5/2/2020
SM1076-029 This SM was superseded by SM 1076-030 on 07/01/2019.,OSEC,OSEC,7/1/2019,7/1/2020
SM1076-030 Implementation of the Agriculture Improvement Act of 2018 (07/01/19),OSEC,OSEC,7/1/2019,7/1/2020
SM1076-031 Under Secretary for Rural Development and Principal Deputy Chief Financial Officer (08/12/19),OSEC,OSEC,8/12/2019,8/12/2020
"SM1076-032 Office of Safety, Security and Protection (OSSP) within Departmental Administration. (09/13/19)",OSEC,OSEC,9/13/2019,9/13/2020
SM1076-033 Realignment of the USDA Departmental FOIA Office (09/24/19),OSEC,OSEC,9/24/2019,9/24/2020
SM1076-034 Realignment of the Office of the Chief Information Officer (09/30/19),OSEC,OSEC,9/30/2019,9/30/2020
"SM1076-035 Delegations of Authority Under the Families First Coronavirus Response Act and the Coronavirus Aid,
Relief, and Economic Security Act (04/24/20)",OSEC,OSEC,4/24/2020,4/24/2021
SM1076-036 Realignment of the Office of the Executive Secretariat (08/14/20),OSEC,OSEC,8/14/2020,8/14/2021
SM1076-037 Realignment of Receipt for Service Oversight (12/17/20),OSEC,OSEC,12/17/2020,12/17/2021
,,,,
Key to OPI Names (Office of Primary Interest - the Directive owner or sponsor),,,,
"AMS - Agricultural Marketing Service
APHIS - Animal and Plant Health Inspection Service ARS - Agricultural Research Service
ERS - Economic Research Service FAS - Foreign Agricultural Service FNS - Food and Nutrition Service FS - Forest Service
FSA - Farm Service Agency
NAL - National Agricultural Library
NASS - National Agricultural Statistics Service NRCS - Natural Resources Conservation Service OAO - Office of Advocacy and Outreach
OASA - Office of the Assistant Secretary for Administration OASCR - Office of the Assistant Secretary for Civil Rights OBPA - Office of Budget and Program Analysis
OC - Office of Communications OCE - Office of the Chief Economist
OCFO - Office of the Chief Financial Officer OCIO - Office of the Chief Information Officer OCS - Office of the Chief Scientist
OES - Office of the Executive Secretariat OGC - Office of the General Counsel
OHRM - Office of Human Resource Management OHS - Office of Homeland Security
OIG - Office of the Inspector General OO - Office of Operations
OPEM - Office of Property and Environmental Management OSDBU - Office of Small and Disadvantaged Business Utilization OSEC - Office of the Secretary
OSSP - Office of Safety, Security, and Protection OTR - Office of Tribal Relations
RD - Rural Development",,,,
