"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
DR1620-003 Facilities and Space Management (03/31/21),OPEM,OPEM,3/31/2021,3/31/2026
DR1630-002 Use of Alcoholic Beverages and Narcotics in USDA Occupied Space (12/13/12),OPPM-PMD,OPEM-PMD,12/13/2012,
DR1633-001 Parking - USDA Headquarters Complex (09/08/94),OO,OO,9/8/1994,
DR1650-001 Departmental Physical Security Program (12/09/21),OSSP,OSSP,12/9/2021,12/9/2026
DR1650-002 Building Safety/Security Emergency Program (10/07/92),OO-RPMD,OSSP,10/7/1992,
DR1700-002 OIG Organization and Procedures (06/17/97),OIG,OIG,6/17/1997,
DR1710-001 Interception and Monitoring of Conversations (02/06/84),OIG,OIG,2/6/1984,
DR1720-001 Audit Follow-up and Management Decision (11/02/11),OCFO,OCFO-ICD,11/2/2011,
"DR1800-001 Incident Preparedness, Response, and Recovery (12/11)",OHSEC,OHS-NSPS,12/1/2011,
DR2100-001 Financial Management Systems (11/30/05),OCFO,OCFO-FMS,11/30/2005,
DR2100-003 OCFO Biennial Review of Charges for Things of Value (Amended page 5) (01/23/02),OCFO,OCFO-CRD,1/23/2002,
DR2100-003-01 Amendment to OCFO Biennial Review of Charges for Things of Value (08/01/05),OCFO-FOQAD,OCFO-CRD,8/1/2005,
DR2130-006 Debt Management and Collections (08/27/21),OCFO-FPD,OCFO-FPD,8/27/2021,8/27/2026
DR2130-008 Changes in Significant Accounting Estimates (10/24/16),OCFO,OCFO-CRD,10/24/2016,
"DR2200-002 Property, Plant and Equipment (04/02/13)",OCFO,OCFO-CRD,4/2/2013,
DR2200-004 Fiscal Liability for Improper Acts (03/17/86),"Office of Finance and
Management",OCFO-FPD,3/17/1986,
DR2230-001 Reviews of Unliquidated Obligations (10/28/20),OCFO,OCFO-CRD,10/28/2020,10/28/2025
DR2235-001 Economy Act Agreements (07/14/21),OCFO,OCFO-AMD,7/14/2021,7/14/2026
DR2236-001 Shared Cost Programs (04/16/21),OCFO,OCFO-BF,4/16/2021,4/16/2026
DR2250-001 Imprest Fund Authorities and Requirements (09/30/20),OCFO-FPD,OCFO-FPD,9/30/2020,9/30/2025
DR2255-001 Indirect Cost Rates Applicable to USDA Federal Awards (08/05/16),OCFO,OCFO-TARD,8/5/2016,
DR2270-001 Irregularities Affecting Accounts of Officers(10/27/03),OCFO,OCFO-FPD,10/27/2003,
DR2280-001 Suspension and Debarment (01/16/13),OCFO,OCFO-TARD,1/16/2013,
DR2300-001 Government Travel Charge Card Regulation (06/24/21),OCFO,OCFO-FPD,6/24/2021,6/24/2026
DR2300-002 USDA Relocation Allowance Regulation (08/26/2013),OCFO,OCFO-FPD,8/26/2013,
DR2300-004 USDA Evacuation Policies and Procedures (03/06/06),OCFO,OCFO-AMD,3/6/2006,
DR2300-005 Agriculture Travel Regulation (12/08/15),OCFO,OCFO-FPD,12/8/2015,
